SDR,Santander
MAZ,Eugenio Maria De Hostos
AMM,Queen Alia Intl
MSL,Northwest Alabama Regl
RSD,Rock Sound Intl
RTB,Juan Manuel Galvez Intl
BZV,Unknown airport with code DSS
GEO,Cheddi Jagan Intl
TCB,Treasure Cay
ELM,Elmira/corning Regl
HOT,Memorial
RDM,Roberts
